Tienda,cluster,latitude,longitude,Nombre Tienda,Region
20000297,2,3.4669995000000005,-76.50720430000001,variedades y papeleria yireth,region cali
20000299,2,3.4636437000000004,-76.5039931,tienda el prado,region cali
20000302,2,3.4724684,-76.5077368,miscelanea diomar,region cali
20000303,0,3.4642712,-76.5045706,tienda nueva,region cali
20000304,2,3.471112,-76.5075109,tienda mixta,region cali
20000305,0,3.4671758,-76.507944,tienda las duquezas,region cali
20000306,5,3.4669177,-76.50467040000002,tienda la ventanita,region cali
20000309,5,3.4684449,-76.51322040000002,tienda gipique,region cali
20000311,0,3.4617328,-76.50630559999998,tienda mixta,region cali
20000312,7,3.4616217,-76.50814559999998,panadería farespan,region cali
20000320,0,3.4604115,-76.51291839999998,tienda amigos porvenir,region cali
20000323,7,3.4638949999999995,-76.5192431,tienda mixta claudia,region cali
20000324,1,3.4641251000000004,-76.5185411,tienda angie,region cali
20000325,0,3.4638949999999995,-76.5192431,tienda mixta,region cali
20000326,7,3.4638949999999995,-76.5192431,tienda oliva,region cali
20000329,2,3.4643937000000005,-76.51721839999998,tienda el sevillano,region cali
20000330,2,3.4601604,-76.52411889999998,granero el paisa,region cali
20000331,4,3.4753367,-76.50665670000002,tienda lmp,region cali
20000332,2,3.4760571,-76.5067947,tienda pj,region cali
20000333,7,3.478725100000001,-76.50817169999998,tienda eva,region cali
20000335,2,3.4783129,-76.50942549999998,tinda mixta,region cali
20000336,0,3.4708375,-76.5147138,tienda el mono,region cali
20000337,2,3.4793791,-76.5256793,tienda gomez y gomez,region cali
20000338,5,3.4881047,-76.49339619999998,tienda velez,region cali
20000341,1,3.4538587,-76.5356589,tienda nn,region cali
20000344,7,3.4771407999999995,-76.50723620000002,miscelanea jhoana,region cali
20000348,7,3.4717431000000003,-76.51075279999998,tienda el pollín,region cali
20000349,2,3.4717431000000003,-76.51075279999998,tienda mixta valentina gm,region cali
20000350,7,3.4701364000000003,-76.51254879999998,miscelanea coral,region cali
20000352,0,3.4726735,-76.5134767,tienda oliva,region cali
20000353,0,3.4732515,-76.50843459999999,tienda la economía,region cali
20000354,7,3.4740826,-76.50852009999998,mercamax,region cali
20000356,4,3.4720001000000003,-76.51510859999998,ventas rosalba,region cali
20000358,0,3.4703796,-76.51590879999998,tienda estela,region cali
20000359,2,3.4761595,-76.51192730000002,tienda davita,region cali
20000360,2,3.4728317000000004,-76.514218,tienda aquí es,region cali
20000362,3,3.4541283,-76.5071935,tienda mixta,region cali
20000363,0,3.4720001000000003,-76.51510859999998,tienda sofi y rosa,region cali
20000364,7,3.4541211000000005,-76.5112297,mini market yosehp,region cali
20000365,0,3.4732137,-76.5139525,tienda chavela,region cali
20000367,3,3.4703796,-76.51590879999998,granero el niche,region cali
20000368,3,3.4533042000000003,-76.5262585,tienda la gorda y la flaca,region cali
20000369,0,3.4708375,-76.5147138,tienda mixta,region cali
20000372,7,3.4747928,-76.51262340000002,el regalazo de la 8,region cali
20000374,7,3.475113,-76.51219379999998,tienda cladis,region cali
20000375,0,3.4709288000000003,-76.51560409999998,tienda jose,region cali
20000379,1,3.4670239,-76.51464190000002,panadería bolivariana,region cali
20000381,0,3.4404994,-76.48593629999998,tienda la amistad,region cali
20000390,2,3.4881047,-76.49339619999998,gran tienda dj,region cali
20000391,4,3.4863155,-76.4911475,abarrotes ramirez,region cali
20000393,7,3.48494,-76.49765,tienda mixta hilda,region cali
20000394,7,3.4464184,-76.5355218,tienda de jd,region cali
20000395,1,3.4881047,-76.49339619999998,tienda mixta monterrey,region cali
20000398,0,3.3916886,-76.55710499999998,la gran tienda,region cali
20000399,3,3.4757112,-76.48594059999998,tienda mixta,region cali
20000400,2,3.428331,-76.497151,la costeña,region cali
20000401,0,3.487596,-76.48926800000002,tienda cielo,region cali
20000402,3,3.4809300000000003,-76.48679200000002,tienda mixta ruth,region cali
20000403,8,3.4750421,-76.48470520000002,mercaplaza santana,region cali
20000405,7,3.4757112,-76.48594059999998,la ancermeña,region cali
20000407,5,3.4483182,-76.4898396,marketing rodriguez grife,region cali
20000408,0,3.4750421,-76.48470520000002,tienda mixta,region cali
20000410,3,3.3971498,-76.50236459999998,tienda yesse,region cali
20000412,0,3.494415,-76.493426,abarrotes bebito,region cali
20000415,3,3.4682751000000005,-76.48737009999998,miscelanea jenny,region cali
20000416,2,3.4680787000000004,-76.4882543,tienda la amistad,region cali
20000419,3,3.4892099,-76.49195390000001,rapitienda juanda,region cali
20000420,0,3.3915094,-76.5571313,panaderia el paisa,region cali
20000423,6,3.4788387000000003,-76.4849215,boston 2000,region cali
20000430,0,3.4516467000000004,-76.53198540000002,rapitienda epi,region cali
20000431,5,3.4788956,-76.4795953,tienda el caleño,region cali
20000432,0,3.4774522000000005,-76.49965399999998,tienda y licores paula,region cali
20000435,0,3.4912964,-76.4873941,tienda mixta,region cali
20000436,0,3.4788956,-76.4795953,miscelania deya,region cali
20000437,3,3.4532403,-76.54712640000002,tienda mixta sara,region cali
20000438,0,3.4788956,-76.4795953,tienda mixta los hermanos,region cali
20000439,2,3.4788956,-76.4795953,tienda los hermanos,region cali
20000442,0,3.4516467000000004,-76.53198540000002,tienda amiga,region cali
20000445,7,3.4788956,-76.4795953,tienda montoya,region cali
20000448,0,3.3876704,-76.5499028,tienda mixta,region cali
20000449,2,3.4711666,-76.49204540000002,tienda mixta,region cali
20000451,8,3.4753961,-76.4801183,tienda mixta doly,region cali
20000452,1,3.4711622,-76.487619,tienda mixta,region cali
20000453,2,3.4511011,-76.54896939999998,tienda milena,region cali
20000454,5,3.4739059,-76.4789787,tienda mixta viviana,region cali
20000455,0,3.475404,-76.4786627,tienda mixta,region cali
20000456,8,3.4745377,-76.47795339999998,tienda el niche,region cali
20000457,0,3.3867756,-76.55210319999998,tienda mixta,region cali
